"warning_id","item_code","item_name","warehouse_name","bin_code","current_quantity","fifo_quantity","ledger_quantity","quantity_difference","current_value","ledger_value","value_difference","earliest_relevant_transaction","earliest_ledger_transaction","opening_balance_record","root_cause_classification","supporting_evidence","financial_impact","inventory_impact","risk_level","recommended_resolution","approval_required","resolution_status"
"1","ITM-001","Safety Gloves","Main Warehouse","","14095","14095","7865","6230","4277.175","2377.0249999999996","1900.1500000000005","2026-07-21","2026-08-08 07:42:51","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"2","ITM-002","Rebar 12mm","Main Warehouse","","26759","26759","13389","13370","32486.02","27499.010000000002","4987.009999999998","2026-04-09","2026-08-08 08:28:41","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"3","ITM-003","Formwork Panel","Main Warehouse","","160720","160720","80360","80360","13661.2","6830.6","6830.6","2026-01-10","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"4","ITM-004","Concrete Vibrator","Main Warehouse","","116601","116601","58301","58300","11668","5838","5830","2026-02-22","2026-08-08 08:28:59","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"5","ITM-005","Cement Bag 50kg","Main Warehouse","","381798","381798","195498","186300","52601.89","36393.79","16208.099999999999","2026-03-03","2026-08-08 07:40:04","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"6","ITM-006","Reinforcement Steel Bar 8mm","Main Warehouse","","31700","31700","15850","15850","85273","42636.5","42636.5","2026-07-27","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"7","ITM-007","Reinforcement Steel Bar 10mm","Main Warehouse","","19520","19520","9760","9760","51923.200000000004","25961.600000000002","25961.600000000002","2026-06-18","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"8","ITM-008","Reinforcement Steel Bar 12mm","Main Warehouse","","2740","2740","1370","1370","7452.8","3726.4","3726.4","2026-07-16","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"9","ITM-009","Reinforcement Steel Bar 16mm","Main Warehouse","","14740","14740","7370","7370","36997.399999999994","18498.699999999997","18498.699999999997","2026-05-16","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"10","ITM-010","Reinforcement Steel Bar 20mm","Main Warehouse","","48420","48420","24210","24210","135091.8","67545.9","67545.9","2026-05-05","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"11","ITM-011","Welded Wire Mesh A142","Main Warehouse","","686","686","343","343","80145.38","40072.69","40072.69","2026-01-24","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
