warning_id,item_code,item_description,warehouse,bin,current_quantity,fifo_quantity,ledger_quantity,difference,value_difference,root_cause,management_decision,business_explanation,evidence_reference,reviewed_by,approved_by,resolution_status
"1","ITM-001","Safety Gloves","Main Warehouse","","14095","14095","7865","6230","1900.1500000000005","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"2","ITM-002","Rebar 12mm","Main Warehouse","","26759","26759","13389","13370","4987.009999999998","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"3","ITM-003","Formwork Panel","Main Warehouse","","160720","160720","80360","80360","6830.6","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"4","ITM-004","Concrete Vibrator","Main Warehouse","","116601","116601","58301","58300","5830","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"5","ITM-005","Cement Bag 50kg","Main Warehouse","","381798","381798","195498","186300","16208.099999999999","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"6","ITM-006","Reinforcement Steel Bar 8mm","Main Warehouse","","31700","31700","15850","15850","42636.5","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"7","ITM-007","Reinforcement Steel Bar 10mm","Main Warehouse","","19520","19520","9760","9760","25961.600000000002","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"8","ITM-008","Reinforcement Steel Bar 12mm","Main Warehouse","","2740","2740","1370","1370","3726.4","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"9","ITM-009","Reinforcement Steel Bar 16mm","Main Warehouse","","14740","14740","7370","7370","18498.699999999997","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"10","ITM-010","Reinforcement Steel Bar 20mm","Main Warehouse","","48420","48420","24210","24210","67545.9","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"11","ITM-011","Welded Wire Mesh A142","Main Warehouse","","686","686","343","343","40072.69","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"12","ITM-012","Prestressing Strand 12.7mm","Main Warehouse","","4500","4500","2250","2250","9652.5","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"13","ITM-013","Prestressing Strand 15.2mm","Main Warehouse","","13580","13580","6790","6790","29197","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"14","ITM-014","Concrete Superplasticizer","Main Warehouse","","740","740","370","370","2523.4","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"15","ITM-015","Concrete Retarder Admixture","Main Warehouse","","720","720","360","360","2512.8","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"16","ITM-016","Concrete Accelerator Admixture","Main Warehouse","","340","340","170","170","1365.1","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"17","ITM-017","Mould Release Agent","Production Store","","1980","1980","990","990","5682.6","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"18","ITM-018","Concrete Curing Compound","Production Store","","2420","2420","1210","1210","9341.199999999999","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"19","ITM-019","Non-Shrink Grout 25kg","Production Store","","1960","1960","980","980","2665.6000000000004","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"20","ITM-020","Epoxy Repair Mortar Kit","Production Store","","124","124","62","62","11540.06","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"21","ITM-021","Binding Wire 1.2mm","Production Store","","380","380","190","190","830.3000000000001","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"22","ITM-022","Welding Electrode E6013 3.2mm","Production Store","","626","626","313","313","3468.04","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"23","ITM-023","Welding Electrode E7018 4.0mm","Production Store","","330","330","165","165","2537.7000000000003","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"24","ITM-024","Cutting Disc 115mm","Production Store","","112","112","56","56","267.12","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"25","ITM-025","Grinding Disc 115mm","Production Store","","302","302","151","151","1493.39","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"26","ITM-026","Flap Disc 115mm 60 Grit","Production Store","","82","82","41","41","804.4200000000001","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"27","ITM-027","Diamond Cutting Blade 230mm","Production Store","","30","30","15","15","1303.95","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"28","ITM-028","Silicone Sealant 300ml","Production Store","","78","78","39","39","695.3699999999999","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"29","ITM-029","Polyurethane Sealant 600ml","Production Store","","446","446","223","223","7024.5","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"30","ITM-030","Industrial Grease 18kg","Maintenance Store","","424","424","212","212","3735.44","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"31","ITM-031","Hydraulic Oil ISO VG 46","Maintenance Store","","2200","2200","1100","1100","13904","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"32","ITM-032","Gear Oil ISO VG 220","Maintenance Store","","722","722","361","361","5638.82","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"33","ITM-033","Multipurpose Penetrating Spray","Maintenance Store","","88","88","44","44","1296.6799999999998","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"34","ITM-034","Industrial Cleaning Degreaser","Maintenance Store","","248","248","124","124","1161.8799999999999","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"35","ITM-035","Cotton Cleaning Rags","Maintenance Store","","18","18","9","9","73.08","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"36","ITM-036","Safety Helmet","Main Warehouse","","68","68","34","34","1214.82","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"37","ITM-037","High Visibility Safety Vest","Main Warehouse","","630","630","315","315","9711.449999999999","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"38","ITM-038","Safety Glasses Clear","Main Warehouse","","966","966","483","483","3926.7900000000004","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"39","ITM-039","Chemical Splash Goggles","Main Warehouse","","196","196","98","98","2584.26","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"40","ITM-040","Ear Plug Disposable Pair","Main Warehouse","","1960","1960","980","980","1205.4","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
